methodname	Number_Of_Calls
baseLineSearch(com.fares.common.model.UserInfo	12
checkAccess(java.util.List	4
getAdditionalUserInfo(com.fares.common.model.UserInfo	3
getAppComponentPreferenceGroupMapping(java.lang.String)	1
getAppComponentTemplateMapping(java.lang.String)	1
getContractList(com.fares.useraccess.ifc.model.AdministrationUserInfoInputData)	8
getCountyByZipCodes(java.util.List)	5
getCoverageForCoreMls(com.fares.common.model.PassportUserInfo	9
getFaclCustomer(java.lang.Long)	8
getGroupDetails(java.lang.Long)	4
getMLSlookups(int)	1
getMarketTrendCharts(com.fares.common.model.PassportUserInfo	1
getPendingEmails(java.lang.String)	572
getPermissableMlsBoards(com.fares.common.model.PassportUserInfo	6
getPreferences(com.fares.common.model.PassportUserInfo	128
getProductAccessCategory(com.fares.common.model.UserInfo	4
getPropertyDetail(com.fares.common.model.PassportUserInfo	14
getPropertyListingIndicatorInfo(com.fares.common.model.PassportUserInfo	3
getTSRCompany(java.lang.Long)	4
getTemplatesByTemplateCode(com.fares.common.model.PassportUserInfo	89
getTransactionDates(java.util.List)	1
getUserProfileByUserId(java.lang.Long)	4
lookupDataElementValues(int)	79
passportLoginWithEntitlement(com.fares.common.model.PassportUserInfo	1
passportUserLogout(com.fares.common.model.PassportUserInfo)	2
productVerification(com.fares.common.model.UserInfo	1
searchProperty(com.fares.common.model.PassportUserInfo	15
sendEmail(com.fares.utility.ifc.model.EmailInData)	2
trackUsage(com.fares.common.model.PassportUserInfo	3
updateOnSiteOrders(com.fares.utility.ifc.model.corelogic.CoreLogicArchiveInData	1
userLogin(com.fares.common.model.UserInfo	2
getPendingEmails(java.lang.String)	3
